"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"08:46:56.2924681 AM","DllHost.exe","27228","RegOpenKey","HKCU","SUCCESS","Desired Access: Read"
"08:46:56.2925355 AM","DllHost.exe","27228","RegQueryValue","HKLM\System\CurrentControlSet\Control\WMI\Security\9a9d6c4e-0c84-5401-7148-5d809fa78018","NAME NOT FOUND","Length: 528"
"08:46:56.2926395 AM","DllHost.exe","27228","RegQueryKey","HKCU","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"08:46:56.2926654 AM","DllHost.exe","27228","RegOpenKey","HKCU\Control Panel\International","SUCCESS","Desired Access: All Access"
"08:46:56.2926891 AM","DllHost.exe","27228","RegQueryKey","HKU","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"08:46:56.2927016 AM","DllHost.exe","27228","RegCreateKey","HKU\.DEFAULT\Control Panel\International","SUCCESS","Desired Access: Write, Disposition: REG_OPENED_EXISTING_KEY"
"08:46:56.2927406 AM","DllHost.exe","27228","RegQueryKey","HKCU\Control Panel\International","SUCCESS","Query: Cached, SubKeys: 4, Values: 41"
"08:46:56.2927548 AM","DllHost.exe","27228","RegEnumValue","HKCU\Control Panel\International","SUCCESS","Index: 0, Name: Locale, Type: REG_SZ, Length: 18, Data: 00000809"
"08:46:56.2927711 AM","DllHost.exe","27228","RegSetValue","HKU\.DEFAULT\Control Panel\International\Locale","SUCCESS","Type: REG_SZ, Length: 18, Data: 00000809"
"08:46:56.2927894 AM","DllHost.exe","27228","RegEnumValue","HKCU\Control Panel\International","SUCCESS","Index: 1, Name: LocaleName, Type: REG_SZ, Length: 12, Data: en-GB"
"08:46:56.2928002 AM","DllHost.exe","27228","RegSetValue","HKU\.DEFAULT\Control Panel\International\LocaleName","SUCCESS","Type: REG_SZ, Length: 12, Data: en-GB"
"08:46:56.2928127 AM","DllHost.exe","27228","RegEnumValue","HKCU\Control Panel\International","SUCCESS","Index: 2, Name: s1159, Type: REG_SZ, Length: 6, Data: AM"
"08:46:56.2928231 AM","DllHost.exe","27228","RegSetValue","HKU\.DEFAULT\Control Panel\International\s1159","SUCCESS","Type: REG_SZ, Length: 6, Data: AM"
"08:46:56.2928352 AM","DllHost.exe","27228","RegEnumValue","HKCU\Control Panel\International","SUCCESS","Index: 3, Name: s2359, Type: REG_SZ, Length: 6, Data: PM"
"08:46:56.2928453 AM","DllHost.exe","27228","RegSetValue","HKU\.DEFAULT\Control Panel\International\s2359","SUCCESS","Type: REG_SZ, Length: 6, Data: PM"
"08:46:56.2928572 AM","DllHost.exe","27228","RegEnumValue","HKCU\Control Panel\International","SUCCESS","Index: 4, Name: sCurrency, Type: REG_SZ, Length: 4, Data: £"
"08:46:56.2928676 AM","DllHost.exe","27228","RegSetValue","HKU\.DEFAULT\Control Panel\International\sCurrency","SUCCESS","Type: REG_SZ, Length: 4, Data: £"
"08:46:56.2928796 AM","DllHost.exe","27228","RegEnumValue","HKCU\Control Panel\International","SUCCESS","Index: 5, Name: sDate, Type: REG_SZ, Length: 4, Data: /"
"08:46:56.2928896 AM","DllHost.exe","27228","RegSetValue","HKU\.DEFAULT\Control Panel\International\sDate","SUCCESS","Type: REG_SZ, Length: 4, Data: /"
"08:46:56.2929012 AM","DllHost.exe","27228","RegEnumValue","HKCU\Control Panel\International","SUCCESS","Index: 6, Name: sDecimal, Type: REG_SZ, Length: 4, Data: ."
"08:46:56.2929112 AM","DllHost.exe","27228","RegSetValue","HKU\.DEFAULT\Control Panel\International\sDecimal","SUCCESS","Type: REG_SZ, Length: 4, Data: ."
"08:46:56.2929232 AM","DllHost.exe","27228","RegEnumValue","HKCU\Control Panel\International","SUCCESS","Index: 7, Name: sGrouping, Type: REG_SZ, Length: 8, Data: 3;0"
"08:46:56.2929342 AM","DllHost.exe","27228","RegSetValue","HKU\.DEFAULT\Control Panel\International\sGrouping","SUCCESS","Type: REG_SZ, Length: 8, Data: 3;0"
"08:46:56.2929486 AM","DllHost.exe","27228","RegEnumValue","HKCU\Control Panel\International","SUCCESS","Index: 8, Name: sLanguage, Type: REG_SZ, Length: 8, Data: ENG"
"08:46:56.2929593 AM","DllHost.exe","27228","RegSetValue","HKU\.DEFAULT\Control Panel\International\sLanguage","SUCCESS","Type: REG_SZ, Length: 8, Data: ENG"
